Sl no,City ID,City,Languages with split (social media),Population (total) Dynamic for Census,Population (below 35yrs),Internet penetration,Time zones (2 for Europe),Country,Continent,Area( km^2),Latitude and longitude,Internet Search tool,Source ,
20,120,Manila,Filipino and English,1.78 million,,,GMT+8,Philippines,Asia,42.88,"14.5995° N, 120.9842° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
21,121,Quezon city,"Tagalog, cebuano, ilocano.",2.936 million,,,GMT+8,Philippines,Asia,166.2,"14.6760° N, 121.0437° E
",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
22,122,Bangkok,Thai language,8.281,,,GMT+7,Thailand,Asia,"1,568.74","13.7563° N, 100.5018° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
23,123,Hongkong,"Cantonese, English",7.451 million,,,GMT+8,Hongkong,Asia,"2,755","22.3193° N, 114.1694° E
",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
24,124,HCM city,"vietnamese, chineese",8.993 million,,,GMT+7,Vietnam,Asia,"2,061.20","10.8231° N, 106.6297° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
25,125,Hanoi,Hanoi vietnamese,8.054,,,GMT+7,Vietnam,Asia,"3,358.60","21.0278° N, 105.8342° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
26,126,Dhaka,"Bengali, tibeto-burman",8.906 million,,,GMT+6,Bangladesh,Asia,306,"23.8103° N, 90.4125° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
27,127,Colombo,"Sinhala, Tamil, English","752,993",,,GMT+5:30,Sri Lanka,Asia,37.31,"6.9271° N, 79.8612° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
28,128,Dubai,"Arabic, Malayalam,
 Hindi-Urdu (or 
Hindustani), 
Gujarati, Persian, Sindhi,
 Tamil",3.331 million,,,GMT+4,UAE,Asia,"4,114","25.2048° N, 55.2708° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
29,129,Abu Dhabi,"Arabic, Malayalam,
 Hindi-Urdu
 (or Hindustani), 
Gujarati, Persian, Sindhi,
 Tamil","
1.45 million",,,GMT+4,UAE,Asia,972,"24.4539° N, 54.3773° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
30,130,Sharjah,Arabic,1.4 million,,,GMT+4,UAE,Asia,235.5,"25.3463° N, 55.4209° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
31,131,Thimphu,Dzongkha,"114,551",,,GMT+6,Bhutan,Asia,26.1,"27.4712° N, 89.6339° E
",,https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world,
32,132,Phnom Penh," Khmer, Chinese 
and Vietnamese","1,501,725",,,GMT+7,Cambodia,Asia,679,"11.5564° N, 104.9282° E
",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
33,133,Lahore,Punjabi,"12,642,000",,,GMT+5,pakistan,Asia,,"31.5204° N, 74.3587° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
34,134,Rawalpindi,"Punjabi, Pothohari, Majhi, Pahari, shahpuri, Dhani, Kashmiri,Urdu","2,237,000",,,GMT+5,pakistan,Asia,,"33.5651° N, 73.0169° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
35,135,Ahmedabad,"majoraly spoken(Gujarati, Hindi, English), Malayalis, Tamils, Marathi","8,059,000",,,GMT+5:30,India,Asia,,"23.0225° N, 72.5714° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
36,136,Visakhapatnam,"Telugu, Urdu, Hindi, Odia","2,175,000",,,GMT+5:30,India,Asia,,"17.6868° N, 83.2185° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
,,,,,,,,,,,,,,
33,201,Lagos,"Yoruba, Igbo, Awori",9 million,,,GMT+1,Nigeria,Africa,"1,171.28","6.5244° N, 3.3792° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
34,202,Kano," Hausa, Fula",4 million ,,,GMT+1,Nigeria,Africa,499,"12.0022° N, 8.5920° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
35,203,Ibadan, Yoruba,6 million,,,GMT+1,Nigeria,Africa,3080,"7.3775° N, 3.9470° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
36,204,Benin city,"French, Bariba, Fulani
 Fon and Yoruba.
english(minority)",1.496 million,,,GMT+1,Nigeria,Africa,"1,204","6.3350° N, 5.6037° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
37,205,Nairobi," Sheng, Swahili,
 English,
Regional: Kikuyu, 
Luhya,
 Luo, Meru, Kalenjin, 
Kamba",4.397 million,,,GMT+3,Keniya,Africa,696,"1.2921° S, 36.8219° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
38,206,Cairo,"Egyptian Arabic, 
Sa'idi Arabic,
Bedouin Arabic,  
Literary Arabic",9.12 million,,,GMT+2,Egypt,Africa,"3,085","30.0444° N, 31.2357° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
39,207,Johannesburg,"English, IsiZulu, I
siXhosa, Sepedi, 
Xitsonga, 
TshiVenda, SeSotho, 
Afrikaans, Setswana,
 IsiNdebele and SiSwati
","957,441",,,GMT+2,South Africa,Africa,"1,644.98","26.2041° S, 28.0473° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
40,208,Cape Town," English, Afrikaans, 
and Xhosa
","433,688",,,GMT+2,South Africa,Africa,"2,461"," 33.9249° S, 18.4241° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
