Sl no,City ID,City,Languages with split (social media),Population (total) Dynamic for Census,Population (below 35yrs),Internet penetration,Time zones (2 for Europe),Country,Continent,Area( km^2),Latitude and longitude,Internet Search tool,Source ,
87,410,Seattle,"English, Asian and Pacific Island languages.","3,433,000",,,GMT-8,washington,USA,"47.6062° N, 122.3321° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
88,411,Florianópolis," manezinho, portugese","249,477",,,GMT-3,Brazil,USA,"27.5986° S, 48.5187° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
89,412,Rio de Janeiro,portuguese,6.32 million,,,GMT-3,Brazil,USA,"22.9068° S, 43.1729° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
93,416,Santiago,Chilean Spanish,5.614 million,,,GMT-3,(Chile) South America,USA,"33.4489° S, 70.6693° W","33.4489° S, 70.6693° W",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country, https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
94,417,Bogotá,spanish,7.413 million,,,GMT-5,(colombia) South America,USA,"4.7110° N, 74.0721° W","4.7110° N, 74.0721° W",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
95,418,Pheonix,"English, spanish, french","1,703,080",,,GMT-7,Arizona-South america,USA,"33.4484° N, 112.0740° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
96,419,San Diego,"English, Spanish,Tagalog",1.54 million,,,GMT-8,California,USA,"32.7157° N, 117.1611° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
97,420,Houston,"English, Spanish, Vietnamese, Chinese, African Languages, Other Asian.",7.1 Million ,,,GMT-6,Texas,USA,"29.7604° N, 95.3698° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
98,421,Jacksonville ,"English, Spanish, Indo-European language, Asian and Pacific Islander languages","926,371",,,GMT-5,Florida,USA,"30.3322° N, 81.6557° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
99,422,Columbus," English, non english by migrants","1,644,000",,,GMT-5,Ohio,USA,"39.9612° N, 82.9988° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
100,423,Las Vegas,"English, Spanish, Asian languages.","2,699,000",,,GMT-8,Nevada,USA,"36.1699° N, 115.1398° W
",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
101,424,Dallas,"English, spanish, chinese, vietnamese","6,301,000",,,GMT-6,Texas,USA,"32.7767° N, 96.7970° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
104,501,Sydney,"English, Mandarin, 
Arabic, Italian,
 Cantonese, Vietnamese",5.23 million,,,GMT+11,Australia,Oceania,"33.8688° S, 151.2093° E",,,"wikipedia.org, https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
105,502,Brisbane,"Mandarin, Cantonese, 
Vietnamese, english, 
tagalog",2.28 million,,,GMT+10,Australia,Oceania,"27.4698° S, 153.0251° E",,,"wikipedia.org, https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
106,503,Canberra,"macedonian, italian, 
german, tagalog,mandarin","395,790",,,GMT+11,Australia,Oceania,"35.2809° S, 149.1300° E",,,"wikipedia.org, https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
107,504,Melbourne," English, Mandarin, 
Arabic, 
Cantonese and 
Vietnamese.",4.936 million,,,GMT+11,Australia,Oceania,"37.8136° S, 144.9631° E",,,"wikipedia.org, https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
108,505,Auckland," English, te reo Māori, Samoan, Northern Chinese (including Mandarin), and Hindi.","1,607,000",,,GMT+13, New Zealand,Oceania,"36.8483° S, 174.7625° E",,,"wikipedia.org , https://en.wikipedia.org/wiki/List_of_time_zones_by_country  , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world  , macrotrends.com",
109,506,Christchurch,"English, Te reo Māori, New Zealand Sign Language","399,000",,,GMT+13,New Zealand,Oceania,"43.5320° S, 172.6397° E",,,"wikipedia.org , https://en.wikipedia.org/wiki/List_of_time_zones_by_country  , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world  ,macrotrends.com",
110,507,Wellington,"English, Māori, French, ","415,000",,,GMT+13,New Zealand,Oceania,"41.2769° S, 174.7731° E",,,"wikipedia.org , https://en.wikipedia.org/wiki/List_of_time_zones_by_country  , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world  , macrotrends.com",
111,509,,,,,,,,,,,,,
